OBJECTID,BIKEFACID,BIKETYPE,BIKE_NAME,STREETNAME,IMPLEMENT,PILOT_PERM,ONE_SIDE,DIRECTION,INSTYR,PROT_TYPE,TRIPLE_A,ADDDATE,MODDATE,SDATE,SOURCE,SACC,Shape__Length
68,BIKEFAC3119,Multi-use Pathway,Halifax Waterfront Boardwalk,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,822.2745979
69,BIKEFAC3120,Multi-use Pathway,Halifax Waterfront Boardwalk,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,112.0537938
70,BIKEFAC3121,Multi-use Pathway,MacIntosh Run Community Trail,,Full Implementation,Permanent,Not Applicable,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,53.9304606
71,BIKEFAC3122,Multi-use Pathway,MacIntosh Run Community Trail,,Full Implementation,Permanent,Not Applicable,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,170.8224272
72,BIKEFAC3123,Multi-use Pathway,MacIntosh Run Community Trail,,Full Implementation,Permanent,Not Applicable,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,115.9662781
73,BIKEFAC3124,Multi-use Pathway,MacIntosh Run Community Trail,,Full Implementation,Permanent,Not Applicable,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,52.00787449
74,BIKEFAC3125,Multi-use Pathway,MacIntosh Run Community Trail,,Full Implementation,Permanent,Not Applicable,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,4.478345615
75,BIKEFAC3126,Multi-use Pathway,MacIntosh Run Community Trail,,Full Implementation,Permanent,Not Applicable,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,17.19411135
76,BIKEFAC3127,Multi-use Pathway,MacIntosh Run Community Trail,,Full Implementation,Permanent,Not Applicable,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,40.38329521
77,BIKEFAC3128,Multi-use Pathway,MacIntosh Run Community Trail,,Full Implementation,Permanent,Not Applicable,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,190.7398892
78,BIKEFAC3129,Multi-use Pathway,MacIntosh Run Community Trail,,Full Implementation,Permanent,Not Applicable,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,22.45741162
79,BIKEFAC3130,Multi-use Pathway,MacIntosh Run Community Trail,,Full Implementation,Permanent,Not Applicable,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,15.35489579
80,BIKEFAC3131,Multi-use Pathway,MacIntosh Run Community Trail,,Full Implementation,Permanent,Not Applicable,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,139.0899944
81,BIKEFAC3132,Multi-use Pathway,MacIntosh Run Community Trail,,Full Implementation,Permanent,Not Applicable,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,34.19715589
82,BIKEFAC3133,Multi-use Pathway,MacIntosh Run Community Trail,,Full Implementation,Permanent,Not Applicable,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,161.5395596
83,BIKEFAC3134,Multi-use Pathway,North Preston Greenway,North Preston Rd,Partial Implementation,Permanent,West Side,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,2300.924942
84,BIKEFAC3135,Multi-use Pathway,Farrell Street Park Pathways,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,279.6286722
85,BIKEFAC3136,Multi-use Pathway,,Larry Uteck Dr,Full Implementation,Permanent,North Side,Bidirectional,,Raised grade separation from roadway,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,2187.51932
86,BIKEFAC3137,Multi-use Pathway,Blueberry Run Trail,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,201.8910766
87,BIKEFAC3024,Multi-use Pathway,Regatta Point Walkway,,Full Implementation,Permanent,Not Applicable,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,447.1478056
88,BIKEFAC3025,Multi-use Pathway,Regatta Point Walkway,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,62.66609293
89,BIKEFAC3026,Multi-use Pathway,Regatta Point Walkway,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,23.12469189
90,BIKEFAC3027,Multi-use Pathway,Regatta Point Walkway,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,204.2036496
91,BIKEFAC3028,Multi-use Pathway,Regatta Point Walkway,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,666.3644222
92,BIKEFAC3029,Multi-use Pathway,Regatta Point Walkway,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,64.79920282
93,BIKEFAC3030,Multi-use Pathway,Halifax Urban Greenway,Beaufort Ave,Full Implementation,Permanent,West Side,Bidirectional,2010,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,1301.632587
94,BIKEFAC3031,Multi-use Pathway,Point Pleasant Park Pathways,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,2826.054388
95,BIKEFAC3032,Multi-use Pathway,Cole Harbour Heritage Trail,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,3539.187013
96,BIKEFAC3033,Multi-use Pathway,Blueberry Run Trail,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,7146.320873
97,BIKEFAC3034,Multi-use Pathway,Musquodoboit Trailway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAILS GROUP,Interactive,20781.11356
98,BIKEFAC3035,Multi-use Pathway,Shearwater Flyers Trail,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,511.1206744
99,BIKEFAC3036,Multi-use Pathway,Gaetz Brook Connector,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,2234.786475
100,BIKEFAC3037,Multi-use Pathway,Blueberry Run Trail,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,68.45195523
101,BIKEFAC3038,Multi-use Pathway,Gaetz Brook Connector,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,998.1476042
102,BIKEFAC3039,Multi-use Pathway,Gaetz Brook Connector,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,468.6324612
103,BIKEFAC3040,Multi-use Pathway,Halifax Common Multi-Use Pathways,,Full Implementation,Permanent,Not Applicable,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,ROW WALKWAYS,Interactive,157.5293967
104,BIKEFAC3041,Multi-use Pathway,Halifax Common Multi-Use Pathways,,Full Implementation,Permanent,Not Applicable,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,ROW WALKWAYS,Interactive,167.90603
105,BIKEFAC3042,Multi-use Pathway,Halifax Common Multi-Use Pathways,,Full Implementation,Permanent,Not Applicable,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,82.2775366
106,BIKEFAC3043,Multi-use Pathway,St Pats Connector MUP,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,134.5490709
107,BIKEFAC3044,Multi-use Pathway,Burnside Greenway,,Full Implementation,Permanent,East Side,Bidirectional,,Raised grade separation from roadway,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,48.93926225
108,BIKEFAC3045,Multi-use Pathway,Jason MacCullough Park Pathways,,Partial Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,557.7213446
109,BIKEFAC3046,Multi-use Pathway,Burnside Greenway,,Full Implementation,Permanent,East Side,Bidirectional,,Raised grade separation from roadway,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,41.54012607
110,BIKEFAC3047,Multi-use Pathway,Burnside Greenway,,Full Implementation,Permanent,East Side,Bidirectional,,Raised grade separation from roadway,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,1166.208742
111,BIKEFAC3048,Multi-use Pathway,Burnside Greenway,,Full Implementation,Permanent,East Side,Bidirectional,,Raised grade separation from roadway,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,32.36604777
112,BIKEFAC3049,Multi-use Pathway,Shubenacadie Canal Greenway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,4754.953724
113,BIKEFAC3050,Multi-use Pathway,Shubenacadie Canal Greenway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,3388.336691
